Time,CellId,RNTI,BWPId,SINR(dB)
1.16929,2,5,0,22.8615
1.16929,4,5,0,23.496
1.1695,2,4,0,21.5848
1.1695,4,4,0,20.1297
1.16964,2,3,0,9.53356
1.16964,4,3,0,0.315208
1.16979,2,2,0,11.335
1.16979,4,2,0,11.3262
1.16993,2,1,0,9.5571
1.16993,4,1,0,57.9689
1.17086,4,3,0,61.3582
1.17086,4,2,0,60.9264
1.17093,2,3,0,52.3636
1.17093,2,1,0,73.0004
1.17129,2,5,0,22.9798
1.17129,4,5,0,23.2408
1.1715,2,4,0,21.67
1.1715,4,4,0,20.0329
1.17164,2,3,0,9.58259
1.17164,4,3,0,0.483903
1.17179,2,2,0,11.3791
1.17179,4,2,0,11.4062
1.17193,2,1,0,9.48901
1.17193,4,1,0,57.9369
1.17293,2,2,0,6.84846
1.17293,2,1,0,5.75044
1.17293,4,4,0,75.898
1.17293,4,3,0,65.7724
1.17329,4,5,0,78.832
1.17343,4,4,0,83.1165
1.17357,4,3,0,71.2918
1.17371,4,2,0,73.9864
1.17386,2,2,0,26.1073
1.17386,4,1,0,85.379
1.17493,2,2,0,9.27136
1.17493,4,5,0,78.0188
1.17493,4,4,0,81.6922
1.17493,4,3,0,71.3525
1.17529,2,5,0,76.7431
1.1755,2,4,0,84.1579
1.17564,2,3,0,74.3813
1.17579,2,2,0,75.1036
1.17593,4,3,0,22.8729
1.17593,2,1,0,84.5801
1.17693,2,3,0,8.25428
1.17693,2,1,0,8.56301
1.17693,4,5,0,77.0896
1.17693,4,4,0,80.6295
1.17693,4,3,0,69.9004
1.17693,4,2,0,70.4034
1.17729,4,5,0,78.8649
1.1775,4,4,0,83.0377
1.17764,4,3,0,71.4581
1.17779,4,2,0,73.9409
1.17793,2,1,0,35.0228
1.17793,4,1,0,85.5316
1.17829,2,5,0,22.6298
1.17829,4,5,0,23.1594
1.1785,2,4,0,21.4879
1.1785,4,4,0,19.8812
1.17864,2,3,0,9.49694
1.17864,4,3,0,0.483313
1.17879,2,2,0,11.5585
1.17879,4,2,0,11.4442
1.17893,2,1,0,9.22725
1.17893,4,1,0,57.4019
1.17929,2,5,0,22.6377
1.17929,4,5,0,23.2249
1.1795,2,4,0,21.4658
1.1795,4,4,0,19.9105
1.17964,2,3,0,9.47621
1.17964,4,3,0,0.565319
1.17979,2,2,0,11.6169
1.17979,4,2,0,11.5358
1.17993,2,1,0,9.32153
1.17993,4,1,0,57.5754
1.18029,2,5,0,22.7078
1.18029,4,5,0,23.2813
