Time,direction,frame,subF,slot,1stSym,nSymbol,cellId,bwpId,rnti,tbSize,mcs,rank,rv,SINR(dB),CQI,corrupt,TBler
1.05093,DL,105,0,0,11,2,3,0,1,1,16118,28,1,0,44.8572,0,0
1.05193,DL,105,1,0,1,12,1,0,5,5,19712,24,1,1,60.845,0,0
1.05193,DL,105,1,0,1,12,1,0,4,4,19712,24,1,1,72.4374,0,0
1.05193,DL,105,1,0,1,12,1,0,3,3,13140,24,1,1,62.2814,0,0
1.05193,DL,105,1,0,1,12,3,0,3,3,466,0,1,1,-6.98548,0,0
1.05293,DL,105,2,0,1,12,1,0,5,5,24179,28,1,1,6.33532,1,1
1.05293,DL,105,2,0,1,12,1,0,4,4,24179,28,1,1,67.7578,1,1
1.05293,DL,105,2,0,1,12,1,0,3,3,16118,28,1,1,60.5111,0,0.663475
1.05293,DL,105,2,0,1,12,1,0,1,1,16118,28,1,1,73.189,0,0.210147
1.05293,DL,105,2,0,1,12,3,0,5,5,11827,18,1,1,11.6108,0,0
1.05293,DL,105,2,0,1,12,3,0,3,3,641,2,1,1,-9.17908,1,0.99499
1.05329,DL,105,3,0,1,3,1,0,5,5,8412,14,1,0,62.4717,0,0
1.0535,DL,105,3,0,4,3,1,0,4,4,8412,14,1,0,70.4022,0,0
1.05364,DL,105,3,0,7,2,1,0,3,3,641,2,1,0,59.6379,0,0
1.05379,DL,105,3,0,9,2,1,0,2,2,641,2,1,0,61.0446,0,0
1.05393,DL,105,3,0,1,12,3,0,3,3,13140,24,1,2,16.392,0,0.0136594
1.05393,DL,105,3,0,11,2,1,0,1,1,641,2,1,0,71.546,0,0
1.05429,DL,105,4,0,1,3,1,0,5,5,19712,24,1,0,7.93423,1,1
1.05429,DL,105,4,0,1,3,3,0,5,5,10514,16,1,0,9.21444,0,6.61982e-12
1.0545,DL,105,4,0,4,3,1,0,4,4,19712,24,1,0,7.41873,1,1
1.0545,DL,105,4,0,4,3,3,0,4,4,8412,14,1,0,6.63127,0,0.00992065
1.05464,DL,105,4,0,7,2,1,0,3,3,11390,22,1,0,-5.44973,1,1
1.05464,DL,105,4,0,7,2,3,0,3,3,641,2,1,0,-13.6233,1,1
1.05479,DL,105,4,0,9,2,1,0,2,2,641,2,1,0,-3.67064,0,0
1.05479,DL,105,4,0,9,2,3,0,2,2,1110,4,1,0,-2.08386,0,0
1.05493,DL,105,4,0,11,2,1,0,1,1,11390,22,1,0,-3.85912,1,1
1.05493,DL,105,4,0,11,2,3,0,1,1,16118,28,1,0,44.584,0,0
1.05593,DL,105,5,0,1,12,1,0,1,1,16118,28,1,1,3.31601,1,1
1.05593,DL,105,5,0,1,12,3,0,5,5,19712,24,1,1,66.302,0,0
1.05593,DL,105,5,0,1,12,3,0,4,4,19712,24,1,1,65.7319,0,0
1.05593,DL,105,5,0,1,12,3,0,3,3,13140,24,1,1,58.1741,0,0
1.05593,DL,105,5,0,1,12,3,0,2,2,13140,24,1,1,59.6098,0,0
1.05629,DL,105,6,0,1,3,1,0,5,5,8412,14,1,0,8.13645,0,0
1.05629,DL,105,6,0,1,3,3,0,5,5,10514,16,1,0,9.20168,0,1.20024e-11
1.0565,DL,105,6,0,4,3,1,0,4,4,8412,14,1,0,7.35919,0,0
1.0565,DL,105,6,0,4,3,3,0,4,4,8412,14,1,0,6.74235,0,0.000239972
