time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.09303	2	1	3	638	0.00302856
1.09339	2	5	3	11824	0.00238571
1.09353	2	4	3	5604	0.00252857
1.09367	2	3	3	638	0.00267142
1.09381	2	2	3	1749	0.00281428
1.09396	4	3	3	463	0.00795714
1.09396	2	1	3	638	0.00295714
1.09503	2	5	3	19709	0.00802856
1.09503	2	4	3	19709	0.00802856
1.09503	2	3	3	13137	0.00802856
1.09503	2	2	3	13137	0.00802856
1.09639	2	5	3	8409	0.00238571
1.09639	4	5	3	10511	0.00238571
1.0966	2	4	3	8409	0.0026
1.0966	4	4	3	6480	0.0026
1.09689	4	2	3	1107	0.00288571
1.09703	4	1	3	16115	0.00302856
1.09739	4	5	3	10511	0.00238571
1.0976	4	4	3	6480	0.0026
1.09789	4	2	3	1107	0.00288571
1.09803	4	1	3	16115	0.00302856
1.09839	4	5	3	10511	0.00238571
1.09889	4	2	3	1107	0.00288571
1.09903	4	1	3	16115	0.00302856
1.09939	2	5	3	19709	0.00238571
1.0996	2	4	3	19709	0.0026
1.09974	2	3	3	13137	0.00274285
1.09989	2	2	3	13137	0.00288571
1.10003	4	3	3	13137	0.0130286
1.10003	2	1	3	13137	0.00302856
1.10039	4	5	3	10511	0.00238571
1.10074	4	3	3	463	0.00274285
1.10089	4	2	3	1107	0.00288571
1.10103	2	1	3	13137	0.0140286
1.10103	4	1	3	16115	0.00302856
1.10196	2	2	3	16115	0.00795714
1.10196	2	1	3	16115	0.00795714
1.10203	4	3	3	463	0.00802856
1.10303	2	5	3	19709	0.00802856
1.10303	2	4	3	19709	0.00802856
1.10303	2	3	3	13137	0.00802856
1.10303	2	2	3	13137	0.00802856
1.10403	2	5	3	14453	0.00802856
1.10403	2	4	3	14453	0.00802856
1.10403	2	3	3	5604	0.00802856
1.10403	2	1	3	13137	0.00902856
1.10439	4	5	3	10511	0.00238571
1.1046	4	4	3	6480	0.0026
1.10474	4	3	3	463	0.00274285
1.10489	4	2	3	1107	0.00288571
1.10503	2	2	3	5604	0.00902856
1.10503	2	1	3	5604	0.00902856
1.10503	4	1	3	16115	0.00302856
1.10603	4	4	3	24176	0.00802856
1.10639	4	5	3	19709	0.00238571
1.1066	4	4	3	19709	0.0026
1.10674	4	3	3	13137	0.00274285
1.10689	4	2	3	13137	0.00288571
1.10703	2	3	3	16115	0.0130286
1.10703	4	1	3	16115	0.00302856
1.10739	2	5	3	19709	0.00238571
1.1076	2	4	3	19709	0.0026
1.10774	2	3	3	9634	0.00274285
1.10789	2	2	3	9634	0.00288571
