% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
1.06	1	0	3	3	106	2	0	7	2	13	1	0	2	641
1.06	1	0	4	2	106	2	0	9	2	14	1	0	2	641
1.06	1	0	5	1	106	2	0	11	2	11	1	0	2	641
1.06	3	0	6	5	106	2	0	1	3	13	1	0	16	10514
1.06	3	0	7	4	106	2	0	4	3	14	1	0	14	8412
1.06	3	0	8	3	106	2	0	7	2	11	1	0	0	466
1.06	3	0	9	2	106	2	0	9	2	14	1	0	4	1110
1.06	3	0	10	1	106	2	0	11	2	14	1	0	28	16118
1.062	1	0	1	5	106	4	0	1	3	12	1	0	14	8412
1.062	1	0	2	4	106	4	0	4	3	12	1	0	14	8412
1.062	1	0	3	3	106	4	0	7	2	12	1	0	2	641
1.062	1	0	4	2	106	4	0	9	2	13	1	0	2	641
1.062	1	0	5	1	106	4	0	11	2	14	1	0	2	641
1.062	3	0	6	5	106	4	0	1	3	12	1	0	16	10514
1.062	3	0	7	4	106	4	0	4	3	13	1	0	14	8412
1.062	3	0	8	3	106	4	0	7	2	14	1	0	0	466
1.062	3	0	9	2	106	4	0	9	2	13	1	0	4	1110
1.062	3	0	10	1	106	4	0	11	2	13	1	0	28	16118
1.063	1	0	1	5	106	5	0	1	3	11	1	0	24	19712
1.063	1	0	2	4	106	5	0	4	3	11	1	0	24	19712
1.063	1	0	3	3	106	5	0	7	2	11	1	0	24	13140
1.063	1	0	4	2	106	5	0	9	2	12	1	0	2	641
1.063	1	0	5	1	106	5	0	11	2	12	1	0	24	13140
1.063	3	0	6	5	106	5	0	1	3	15	1	0	16	10514
1.063	3	0	7	4	106	5	0	4	3	15	1	0	14	8412
1.063	3	0	8	3	106	5	0	7	2	13	1	0	28	16118
1.063	3	0	9	2	106	5	0	9	2	15	1	0	4	1110
1.063	3	0	10	1	106	5	0	11	2	15	1	0	28	16118
1.064	1	0	1	5	106	6	0	1	3	14	1	0	24	19712
1.064	1	0	2	4	106	6	0	4	3	14	1	0	24	19712
1.064	1	0	3	3	106	6	0	7	2	14	1	0	24	13140
1.064	1	0	4	2	106	6	0	9	2	15	1	0	2	641
1.064	1	0	5	1	106	6	0	11	2	13	1	0	28	16118
1.064	3	0	6	5	106	6	0	1	3	11	1	0	24	19712
1.064	3	0	7	4	106	6	0	4	3	12	1	0	24	19712
1.064	3	0	8	3	106	6	0	7	2	12	1	0	24	13140
1.064	3	0	9	2	106	6	0	9	2	12	1	0	24	13140
1.064	3	0	10	1	106	6	0	11	2	12	1	0	28	16118
1.065	1	0	1	5	106	7	0	1	3	13	1	0	24	19712
1.065	1	0	2	4	106	7	0	4	3	13	1	0	24	19712
1.065	1	0	3	3	106	7	0	7	2	13	1	0	24	13140
1.065	1	0	4	2	106	7	0	9	2	14	1	0	24	13140
1.065	1	0	5	1	106	7	0	11	2	11	1	0	24	13140
1.066	1	0	1	5	106	8	0	1	3	15	1	0	14	8412
1.066	1	0	2	4	106	8	0	4	3	15	1	0	14	8412
1.066	1	0	3	3	106	8	0	7	2	15	1	0	2	641
1.066	1	0	4	2	106	8	0	9	2	11	1	0	4	1110
1.066	1	0	5	1	106	8	0	11	2	15	1	0	2	641
1.067	1	0	1	5	106	9	0	1	3	12	1	0	20	14456
1.067	1	0	2	4	106	9	0	4	3	12	1	0	20	14456
1.067	1	0	3	3	106	9	0	7	2	12	1	0	8	2570
1.067	1	0	4	2	106	9	0	9	2	13	1	0	4	1110
1.067	1	0	5	1	106	9	0	11	2	14	1	0	8	2570
1.07	1	0	1	5	107	2	0	1	3	13	1	0	14	8412
1.07	1	0	2	4	107	2	0	4	3	13	1	0	14	8412
1.07	1	0	3	3	107	2	0	7	2	13	1	0	2	641
1.07	1	0	4	2	107	2	0	9	2	15	1	0	4	1110
1.07	1	0	5	1	107	2	0	11	2	11	1	0	2	641
1.07	3	0	6	5	107	2	0	1	3	15	1	0	16	10514
1.07	3	0	7	4	107	2	0	4	3	15	1	0	14	8412
1.07	3	0	8	3	107	2	0	7	2	11	1	0	0	466
1.07	3	0	9	2	107	2	0	9	2	15	1	0	4	1110
1.07	3	0	10	1	107	2	0	11	2	15	1	0	28	16118
1.071	1	0	1	5	107	3	0	1	3	15	1	0	24	19712
1.071	1	0	2	4	107	3	0	4	3	15	1	0	24	19712
1.071	1	0	3	3	107	3	0	7	2	15	1	0	24	13140
1.071	1	0	4	2	107	3	0	9	2	14	1	0	24	13140
1.071	1	0	5	1	107	3	0	11	2	15	1	0	24	13140
1.071	3	0	6	5	107	3	0	1	3	14	1	0	16	10514
1.071	3	0	7	4	107	3	0	4	3	14	1	0	14	8412
1.071	3	0	8	3	107	3	0	7	2	15	1	0	24	13140
1.071	3	0	9	2	107	3	0	9	2	14	1	0	4	1110
1.071	3	0	10	1	107	3	0	11	2	14	1	0	28	16118
1.072	1	0	1	5	107	4	0	1	3	12	1	0	24	19712
1.072	1	0	2	4	107	4	0	4	2	12	1	0	24	13140
1.072	1	0	3	3	107	4	0	6	2	12	1	0	24	13140
1.072	1	0	4	2	107	4	0	8	2	13	1	0	24	13140
1.072	1	0	5	1	107	4	0	10	2	14	1	0	24	13140
1.072	3	0	6	5	107	4	0	1	3	13	1	0	16	10514
1.072	3	0	7	4	107	4	0	4	3	13	1	0	14	8412
1.072	3	0	8	3	107	4	0	7	2	14	1	0	24	13140
1.072	3	0	9	2	107	4	0	9	2	13	1	0	4	1110
1.072	3	0	10	1	107	4	0	11	2	13	1	0	28	16118
1.073	1	0	1	5	107	5	0	1	3	11	1	0	24	19712
1.073	1	0	2	4	107	5	0	4	3	11	1	0	24	19712
1.073	1	0	3	3	107	5	0	7	2	11	1	0	24	13140
1.073	1	0	4	2	107	5	0	9	2	12	1	0	24	13140
1.073	1	0	5	1	107	5	0	11	2	12	1	0	24	13140
1.075	1	0	1	5	107	7	0	1	3	14	1	0	16	10514
1.075	1	0	2	4	107	7	0	4	3	14	1	0	14	8412
1.075	1	0	3	3	107	7	0	7	2	13	1	0	2	641
1.075	1	0	4	2	107	7	0	9	2	11	1	0	24	13140
1.075	1	0	5	1	107	7	0	11	2	11	1	0	2	641
1.078	1	0	1	5	108	0	0	1	3	13	1	0	14	8412
1.078	1	0	2	4	108	0	0	4	3	13	1	0	14	8412
1.078	1	0	3	3	108	0	0	7	2	11	1	0	20	9637
1.078	1	0	4	2	108	0	0	9	2	15	1	0	20	9637
1.078	1	0	5	1	108	0	0	11	2	14	1	0	28	16118
1.078	3	0	6	5	108	0	0	1	3	15	1	0	16	10514
1.078	3	0	7	4	108	0	0	4	3	15	1	0	28	24179
1.078	3	0	8	3	108	0	0	7	2	13	1	0	16	7008
1.078	3	0	9	2	108	0	0	9	2	15	1	0	18	7885
1.078	3	0	10	1	108	0	0	11	2	15	1	0	28	16118
