Time	CellId	RNTI	BWPId	SINR(dB)
1.45507	2	3	0	6.92824
1.45507	2	2	0	3.35325
1.45507	2	1	0	-3.84406
1.45507	4	5	0	5.09017
1.45507	4	4	0	-3.05821
1.45507	4	3	0	-21.5878
1.45507	4	2	0	-5.66161
1.45507	4	1	0	28.9267
1.45707	2	5	0	45.8829
1.45707	2	4	0	51.6211
1.45707	2	3	0	42.3374
1.45707	2	2	0	43.5375
1.45707	2	1	0	52.2586
1.46007	2	5	0	11.3866
1.46007	2	4	0	3.72098
1.46007	2	3	0	9.41366
1.46007	2	2	0	3.55847
1.46007	2	1	0	-3.97946
1.46007	4	5	0	5.05458
1.46007	4	4	0	-2.11505
1.46007	4	3	0	-21.5041
1.46007	4	2	0	-5.76533
1.46007	4	1	0	30.0479
1.46507	2	5	0	11.1988
1.46507	2	4	0	3.44371
1.46507	2	3	0	7.28431
1.46507	2	2	0	4.09515
1.46507	2	1	0	-4.13106
1.46507	4	5	0	4.80578
1.46507	4	4	0	-1.67384
1.46507	4	3	0	-21.5339
1.46507	4	2	0	-5.78562
1.46507	4	1	0	28.2193
1.47007	2	5	0	11.1479
1.47007	2	4	0	3.52104
1.47007	2	3	0	6.26046
1.47007	2	2	0	4.04993
1.47007	2	1	0	-4.1249
1.47007	4	5	0	5.10213
1.47007	4	4	0	-1.60411
1.47007	4	3	0	-21.3446
1.47007	4	2	0	-5.90474
1.47007	4	1	0	30.069
1.47207	2	5	0	45.8246
1.47207	2	4	0	51.4903
1.47207	2	3	0	42.4856
1.47207	2	2	0	43.5405
1.47207	2	1	0	52.16
1.47507	2	5	0	11.5394
1.47507	2	4	0	3.37865
1.47507	2	3	0	6.39716
1.47507	2	2	0	3.3713
1.47507	2	1	0	-3.9272
1.47507	4	5	0	4.64405
1.47507	4	4	0	-1.84937
1.47507	4	3	0	-21.4002
1.47507	4	2	0	-6.09359
1.47507	4	1	0	28.9039
1.48007	2	5	0	11.2459
1.48007	2	4	0	3.34896
1.48007	2	3	0	7.08946
1.48007	2	2	0	3.17238
1.48007	2	1	0	-3.81826
1.48007	4	5	0	4.70941
1.48007	4	4	0	-2.70646
1.48007	4	3	0	-21.5883
1.48007	4	2	0	-5.75232
1.48007	4	1	0	27.7417
1.48507	2	5	0	11.1372
1.48507	2	4	0	3.33783
1.48507	2	3	0	6.66209
1.48507	2	2	0	3.11995
1.48507	2	1	0	-3.62696
1.48507	4	5	0	4.26759
1.48507	4	4	0	-3.724
1.48507	4	3	0	-21.3034
1.48507	4	2	0	-5.60796
1.48507	4	1	0	27.8519
1.48807	4	5	0	44.5619
1.48807	4	4	0	42.7463
1.48807	4	3	0	31.2756
1.48807	4	2	0	41.6784
1.48807	4	1	0	52.8819
1.49007	2	5	0	11.4621
1.49007	2	4	0	3.29657
1.49007	2	3	0	7.60713
1.49007	2	2	0	3.54068
1.49007	2	1	0	-3.55121
1.49007	4	5	0	4.34383
1.49007	4	4	0	-3.92638
1.49007	4	3	0	-21.5421
1.49007	4	2	0	-5.97003
1.49007	4	1	0	30.2614
1.49107	2	5	0	11.3572
1.49107	2	4	0	3.31649
1.49107	2	3	0	7.20882
1.49107	2	2	0	3.6798
1.49107	2	1	0	-3.57832
1.49107	4	5	0	4.31834
1.49107	4	4	0	-3.87155
1.49107	4	3	0	-21.633
1.49107	4	2	0	-5.98807
1.49107	4	1	0	28.3068
1.49507	2	5	0	11.344
1.49507	2	4	0	2.92102
1.49507	2	3	0	6.03107
1.49507	2	2	0	4.15744
1.49507	2	1	0	-3.24836
1.49507	4	5	0	4.48019
1.49507	4	4	0	-3.54459
1.49507	4	3	0	-21.4876
1.49507	4	2	0	-5.94152
1.49507	4	1	0	28.116
1.49907	2	5	0	46.3233
1.49907	2	4	0	51.2696
1.49907	2	3	0	42.391
1.49907	2	2	0	43.756
1.49907	2	1	0	52.0704
1.50007	2	5	0	11.6997
1.50007	2	4	0	2.95434
